epoch,train_loss,val_exact_sentence_accuracy,val_all_slots_joint_accuracy,val_mean_slot_accuracy,val_relation_accuracy,selection_score,learning_rate
1,1.2507494688034058,0.0,0.0,0.403921568627451,0.3035294117647059,0.36376470588235293,0.0003
2,1.1749993542830148,0.0,0.0,0.4162566844919786,0.32823529411764707,0.381048128342246,0.0003
3,1.1479526817798615,0.0,0.0,0.41404634581105165,0.31843137254901965,0.3758003565062389,0.0003
4,1.1166969392034742,0.0,0.0,0.45269162210338687,0.3180392156862745,0.39883065953654195,0.0003
5,1.084898226790958,0.0,0.0,0.46388591800356505,0.31254901960784315,0.40335115864527626,0.0003
6,1.0594050407409668,0.0,0.0,0.4655258467023174,0.3262745098039216,0.40982531194295907,0.0003
7,1.0368921319643656,0.000784313725490196,0.000784313725490196,0.4396434937611407,0.3137254901960784,0.3892762923351158,0.0003
8,1.0145234607987934,0.000784313725490196,0.000784313725490196,0.4601069518716577,0.307843137254902,0.3992014260249554,0.0003
9,0.988338142964575,0.0,0.0,0.4434937611408199,0.3003921568627451,0.38625311942959,0.0003
10,0.9276101549466451,0.0,0.0,0.46901960784313734,0.3003921568627451,0.4015686274509805,0.00015
11,0.8874132586850061,0.000784313725490196,0.000784313725490196,0.47515151515151516,0.3137254901960784,0.41058110516934043,0.00015
12,0.8454527735710144,0.000784313725490196,0.000784313725490196,0.4692335115864528,0.30980392156862746,0.40546167557932267,0.00015
13,0.7931429624557496,0.0,0.0,0.457397504456328,0.31019607843137254,0.3985169340463458,0.00015
14,0.7205356107817755,0.000784313725490196,0.000784313725490196,0.4506238859180035,0.3007843137254902,0.3906880570409982,0.00015
15,0.5942472176419364,0.000784313725490196,0.000784313725490196,0.46253119429590017,0.3223529411764706,0.40645989304812835,7.5e-05
16,0.5059796742267079,0.0,0.0,0.46074866310160423,0.3262745098039216,0.40695900178253114,7.5e-05
17,0.44118696335289215,0.000784313725490196,0.000784313725490196,0.4596791443850268,0.3172549019607843,0.40270944741532977,7.5e-05
