image_id,file_name,description
13137,img_13137.png,a big green square is above a medium red square | a big green square is left of a small black triangle
3063,img_3063.png,a medium black square is left of a big red circle | a medium black square is below a big red square
11262,img_11262.png,a small yellow square is above a small red square | a small yellow square is below a small green triangle
5932,img_5932.png,a big black triangle is overlapping a medium red square | a big black triangle is right of a medium red square
3016,img_3016.png,a small red triangle is below a small black circle | a small red triangle is left of a small red square
9931,img_9931.png,a big blue square is below a small red triangle | a big blue square is below a medium yellow square
6161,img_6161.png,a big black square is above a medium blue square | a big black square is right of a small red square
14438,img_14438.png,a medium black circle is left of a medium black square | a medium black circle is below a small black triangle
12866,img_12866.png,a small green square is right of a medium yellow square | a small green square is right of a medium black triangle
10168,img_10168.png,a small blue square is above a medium red circle | a small blue square is above a small yellow square
4245,img_4245.png,a small yellow triangle is right of a medium blue circle | a small yellow triangle is right of a big red triangle
9332,img_9332.png,a small red circle is above a small green square | a small red circle is overlapping a big green circle
14468,img_14468.png,a big yellow square is overlapping a small red circle | a big yellow square is right of a small black triangle
8829,img_8829.png,a big green circle is right of a small black triangle | a big green circle is above a small yellow square
8836,img_8836.png,a small red square is right of a small yellow circle | a small red square is right of a medium green square
4866,img_4866.png,a medium red triangle is right of a big black circle | a medium red triangle is right of a medium green square
13444,img_13444.png,a small green square is above a small green square | a small green square is overlapping a big red square
11274,img_11274.png,a small green triangle is below a small red square | a small green triangle is right of a medium green square
5707,img_5707.png,a small yellow triangle is left of a small black circle | a small yellow triangle is left of a small green square
14745,img_14745.png,a small black triangle is overlapping a big red triangle | a small black triangle is above a small green triangle
8278,img_8278.png,a small yellow triangle is left of a big red triangle | a small yellow triangle is below a small blue square
2512,img_2512.png,a medium black triangle is right of a small black triangle | a medium black triangle is overlapping a medium yellow triangle
10569,img_10569.png,a medium red triangle is right of a big yellow square | a medium red triangle is right of a small blue square
3418,img_3418.png,a big blue square is right of a medium black triangle | a big blue square is overlapping a big red square
1043,img_1043.png,a medium yellow square is below a medium yellow circle | a medium yellow square is right of a small green circle
13402,img_13402.png,a big green triangle is overlapping a big red circle | a big green triangle is above a small black triangle
6377,img_6377.png,a medium red triangle is below a small green square | a medium red triangle is right of a small black circle
4123,img_4123.png,a small red triangle is right of a small yellow circle | a small red triangle is overlapping a big blue square
5612,img_5612.png,a small green circle is right of a small blue square | a small green circle is below a small red triangle
9187,img_9187.png,a small green triangle is above a medium yellow square | a small green triangle is above a big black circle
9869,img_9869.png,a small yellow square is right of a big red triangle | a small yellow square is right of a medium red circle
12665,img_12665.png,a small red triangle is left of a medium red circle | a small red triangle is overlapping a small black triangle
4851,img_4851.png,a medium blue triangle is left of a small yellow circle | a medium blue triangle is overlapping a medium red circle
9296,img_9296.png,a small black circle is above a medium green triangle | a small black circle is above a small black triangle
1087,img_1087.png,a big green circle is above a small blue square | a big green circle is overlapping a medium black triangle
10164,img_10164.png,a small black triangle is overlapping a medium red square | a small black triangle is overlapping a big black square
2882,img_2882.png,a medium black circle is above a big green triangle | a medium black circle is left of a small green triangle
8298,img_8298.png,a small red square is below a big red triangle | a small red square is left of a big green triangle
9659,img_9659.png,a big red triangle is left of a small black triangle | a big red triangle is overlapping a big yellow square
3315,img_3315.png,a small red square is right of a medium yellow square | a small red square is right of a small green square
12624,img_12624.png,a big green triangle is overlapping a big black circle | a big green triangle is above a medium black triangle
9819,img_9819.png,a medium green triangle is below a small green square | a medium green triangle is overlapping a medium green triangle
311,img_311.png,a medium green square is below a medium yellow circle | a medium green square is below a medium green square
9969,img_9969.png,a big yellow square is right of a medium yellow circle | a big yellow square is overlapping a small red square
2157,img_2157.png,a medium green square is overlapping a big green circle | a medium green square is right of a medium red square
8830,img_8830.png,a big yellow circle is below a small blue circle | a big yellow circle is left of a small black triangle
3728,img_3728.png,a big red triangle is below a medium black square | a big red triangle is right of a small black triangle
5035,img_5035.png,a medium black triangle is below a medium green square | a medium black triangle is above a medium blue square
5145,img_5145.png,a medium blue circle is left of a small green circle | a medium blue circle is overlapping a small blue circle
4194,img_4194.png,a big blue circle is overlapping a big black square | a big blue circle is left of a big red square
11455,img_11455.png,a big red circle is overlapping a medium green square | a big red circle is overlapping a medium yellow triangle
6798,img_6798.png,a medium green square is overlapping a big blue square | a medium green square is left of a big red circle
12478,img_12478.png,a big red triangle is overlapping a medium yellow triangle | a big red triangle is overlapping a small black triangle
3522,img_3522.png,a big black triangle is left of a medium red circle | a big black triangle is overlapping a medium red square
5598,img_5598.png,a medium red circle is below a medium red triangle | a medium red circle is below a small red circle
3120,img_3120.png,a big yellow square is below a medium blue circle | a big yellow square is overlapping a medium blue triangle
12837,img_12837.png,a medium green square is above a small black circle | a medium green square is above a medium blue square
12329,img_12329.png,a medium green circle is overlapping a big yellow square | a medium green circle is above a small yellow square
13610,img_13610.png,a small green triangle is left of a big blue triangle | a small green triangle is below a medium black triangle
3881,img_3881.png,a medium blue circle is above a small black square | a medium blue circle is above a big black triangle
14817,img_14817.png,a small green square is below a medium red triangle | a small green square is above a small red circle
12321,img_12321.png,a big yellow square is below a medium yellow circle | a big yellow square is below a small red triangle
6281,img_6281.png,a big red square is left of a medium red square | a big red square is overlapping a big red circle
5135,img_5135.png,a small green square is above a small yellow square | a small green square is left of a small green triangle
