epoch,train_loss,val_exact_sentence_accuracy,val_all_slots_joint_accuracy,val_mean_slot_accuracy,val_relation_accuracy,selection_score,learning_rate
1,1.2958655258019764,0.0,0.0,0.36135472370766486,0.24274509803921568,0.3139108734402852,0.0003
2,1.2210730605655247,0.0,0.0,0.41404634581105165,0.296078431372549,0.3668591800356506,0.0003
3,1.1686688231097326,0.0,0.0,0.4255258467023173,0.3196078431372549,0.3831586452762923,0.0003
4,1.1431342369980282,0.0,0.0,0.4255971479500891,0.3223529411764706,0.38429946524064174,0.0003
5,1.1231962356302474,0.000784313725490196,0.000784313725490196,0.4305882352941177,0.3196078431372549,0.3861960784313726,0.0003
6,1.1064884781837463,0.0,0.0,0.43443850267379686,0.3207843137254902,0.3889768270944742,0.0003
7,1.09039120276769,0.0,0.0,0.4324420677361854,0.31529411764705884,0.3855828877005347,0.0003
8,1.0739765153990852,0.000784313725490196,0.000784313725490196,0.437361853832442,0.3243137254901961,0.39214260249554367,0.0003
9,1.0558931910329394,0.0,0.0,0.43893048128342244,0.3211764705882353,0.3918288770053476,0.0003
10,1.0354880548185772,0.0,0.0,0.4385026737967915,0.316078431372549,0.3895329768270945,0.0003
11,1.0084974219401677,0.000784313725490196,0.000784313725490196,0.4459893048128343,0.31019607843137254,0.3916720142602496,0.0003
12,0.9659619910849465,0.000784313725490196,0.000784313725490196,0.4437789661319073,0.312156862745098,0.39113012477718356,0.00015
13,0.9366711537043254,0.0,0.0,0.4428520499108735,0.307843137254902,0.3888484848484849,0.00015
14,0.9147316012117598,0.000784313725490196,0.000784313725490196,0.44142602495543676,0.31137254901960787,0.3894046345811052,0.00015
